Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-07-17T19:15:00Z,07/17/22,21:15:00,2022-07-17T21:30:00Z,07/17/22,23:30:00,https://filmfestival-rathausplatz.at/event/die-fledermaus-3,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Die Fledermaus
2022-07-18T19:15:00Z,07/18/22,21:15:00,,,,https://filmfestival-rathausplatz.at/event/subsurface,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Subsurface
2022-07-18T19:22:00Z,07/18/22,21:22:00,2022-07-18T21:30:00Z,07/18/22,23:30:00,https://filmfestival-rathausplatz.at/event/dee-dee-bridgewater-live-at-the-bayfront-jazz-festival,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Dee Dee Bridgewater: Live At The Bayfront Jazz Festival
2022-07-19T19:15:00Z,07/19/22,21:15:00,2022-07-19T21:30:00Z,07/19/22,23:30:00,https://filmfestival-rathausplatz.at/event/neujahrskonzert-2022,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Neujahrskonzert 2022
2022-07-20T19:15:00Z,07/20/22,21:15:00,,,,https://filmfestival-rathausplatz.at/event/cold-storage,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Cold Storage
2022-07-20T19:23:00Z,07/20/22,21:23:00,2022-07-20T20:30:00Z,07/20/22,22:30:00,https://filmfestival-rathausplatz.at/event/herbert-pixner-projekt-und-das-tonkuenstler-orchester-symphonic-alps,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Herbert Pixner Projekt und das Tonkünstler-Orchester: Symphonic Alps
2022-07-20T20:34:00Z,07/20/22,22:34:00,2022-07-20T21:45:00Z,07/20/22,23:45:00,https://filmfestival-rathausplatz.at/event/in-memoriam-willi-resetarits-be-a-mensch,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",In Memoriam Willi Resetarits: BE A MENSCH
2022-07-21T19:15:00Z,07/21/22,21:15:00,2022-07-21T21:30:00Z,07/21/22,23:30:00,https://filmfestival-rathausplatz.at/event/tina-live,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",TINA: LIVE!
2022-07-22T19:15:00Z,07/22/22,21:15:00,2022-07-22T21:30:00Z,07/22/22,23:30:00,https://filmfestival-rathausplatz.at/event/hollywood-in-vienna-the-world-of-hans-zimmer,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Hollywood In Vienna: The World Of Hans Zimmer
2022-07-23T19:15:00Z,07/23/22,21:15:00,2022-07-23T21:30:00Z,07/23/22,23:30:00,https://filmfestival-rathausplatz.at/event/die-toten-hosen-nur-zu-besuch-mtv-unplugged,Filmfestival Rathausplatz,"Rathausplatz, Rathauspl., 1010 Wien, Austria",Die Toten Hosen: Nur zu Besuch MTV Unplugged
