Start Timestamp,Start Date,Start Time,End Timestamp,End Date,End Time,Description,Type,Location,Subject
2022-06-27T18:00:00Z,06/27/22,20:00:00,2022-06-27T21:30:00Z,06/27/22,23:30:00,https://tickets.kinoamdach.at/at/wo-in-paris-die-sonne-aufgeht-presented-by-falter-13-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Wo in Paris die Sonne aufgeht
2022-06-28T18:00:00Z,06/28/22,20:00:00,2022-06-28T21:30:00Z,06/28/22,23:30:00,https://tickets.kinoamdach.at/at/spencer-28-06-2022-2,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Spencer
2022-06-29T18:00:00Z,06/29/22,20:00:00,2022-06-29T21:30:00Z,06/29/22,23:30:00,https://tickets.kinoamdach.at/at/die-dohnal-presented-by-stop-stadtteil-ohne-partnergewalt-29-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Die Dohnal
2022-06-30T18:00:00Z,06/30/22,20:00:00,2022-06-30T21:30:00Z,06/30/22,23:30:00,https://tickets.kinoamdach.at/at/verstehen-sie-die-b%C3%A8liers-30-06-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Verstehen Sie die Beliers? 
2022-07-01T18:00:00Z,07/01/22,20:00:00,2022-07-01T21:30:00Z,07/01/22,23:30:00,https://tickets.kinoamdach.at/at/the-french-dispatch-01-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The French Dispatch
2022-07-02T18:00:00Z,07/02/22,20:00:00,2022-07-02T21:30:00Z,07/02/22,23:30:00,https://tickets.kinoamdach.at/at/king-richard-02-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",King Richard
2022-07-03T18:00:00Z,07/03/22,20:00:00,2022-07-03T21:30:00Z,07/03/22,23:30:00,https://tickets.kinoamdach.at/at/the-father-03-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Father
2022-07-04T18:00:00Z,07/04/22,20:00:00,2022-07-04T21:30:00Z,07/04/22,23:30:00,https://tickets.kinoamdach.at/at/madres-paralelas-presented-by-falter-04-07-2022-2,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Madres Paralelas
2022-07-05T18:00:00Z,07/05/22,20:00:00,2022-07-05T21:30:00Z,07/05/22,23:30:00,https://tickets.kinoamdach.at/at/pleasure-05-07-2022,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Pleasure
2022-07-06T18:00:00Z,07/06/22,20:00:00,2022-07-06T21:30:00Z,07/06/22,23:30:00,https://tickets.kinoamdach.at/at/girls-cant-surf-presented-by-surf-film-nacht-21-07-2022-4-2,Kino am Dach,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Blutrausch
