dtstart,dtend,created,description,location,summary
2022-06-25T18:00:00Z,2022-06-25T21:30:00Z,2022-06-03T16:27:26Z,https://tickets.kinoamdach.at/at/the-northman-25-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Northman
2022-06-26T18:00:00Z,2022-06-26T21:30:00Z,2022-06-03T16:53:58Z,https://tickets.kinoamdach.at/at/respect-presented-by-radio-wien-26-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Respect
2022-06-27T18:00:00Z,2022-06-27T21:30:00Z,2022-06-03T16:54:23Z,https://tickets.kinoamdach.at/at/wo-in-paris-die-sonne-aufgeht-presented-by-falter-13-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Wo in Paris die Sonne aufgeht
2022-06-28T18:00:00Z,2022-06-28T21:30:00Z,2022-06-03T16:55:16Z,https://tickets.kinoamdach.at/at/spencer-28-06-2022-2,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Spencer
2022-06-29T18:00:00Z,2022-06-29T21:30:00Z,2022-06-03T16:55:31Z,https://tickets.kinoamdach.at/at/die-dohnal-presented-by-stop-stadtteil-ohne-partnergewalt-29-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Die Dohnal
2022-06-30T18:00:00Z,2022-06-30T21:30:00Z,2022-06-03T16:55:52Z,https://tickets.kinoamdach.at/at/verstehen-sie-die-b%C3%A8liers-30-06-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Verstehen Sie die Beliers? 
2022-07-01T18:00:00Z,2022-07-01T21:30:00Z,2022-06-03T16:28:13Z,https://tickets.kinoamdach.at/at/the-french-dispatch-01-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The French Dispatch
2022-07-02T18:00:00Z,2022-07-02T21:30:00Z,2022-06-03T16:56:12Z,https://tickets.kinoamdach.at/at/king-richard-02-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",King Richard
2022-07-03T18:00:00Z,2022-07-03T21:30:00Z,2022-06-03T16:36:14Z,https://tickets.kinoamdach.at/at/the-father-03-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",The Father
2022-07-04T18:00:00Z,2022-07-04T21:30:00Z,2022-06-03T16:56:44Z,https://tickets.kinoamdach.at/at/madres-paralelas-presented-by-falter-04-07-2022-2,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Madres Paralelas
2022-07-05T18:00:00Z,2022-07-05T21:30:00Z,2022-06-03T16:57:12Z,https://tickets.kinoamdach.at/at/pleasure-05-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Pleasure
2022-07-06T18:00:00Z,2022-07-06T21:30:00Z,2022-06-03T16:28:50Z,https://tickets.kinoamdach.at/at/girls-cant-surf-presented-by-surf-film-nacht-21-07-2022-4-2,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Blutrausch
2022-07-07T18:00:00Z,2022-07-07T21:30:00Z,2022-06-03T16:29:39Z,https://tickets.kinoamdach.at/at/riders-of-justice-helden-der-wahrscheinlichkeit-07-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Riders of Justice
2022-07-08T18:00:00Z,2022-07-08T21:30:00Z,2022-06-03T16:58:35Z,https://tickets.kinoamdach.at/at/spider-man-no-way-home-08-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Spider-Man: No Way Home
2022-07-09T18:00:00Z,2022-07-09T21:30:00Z,2022-06-03T16:57:55Z,https://tickets.kinoamdach.at/at/nightmare-alley-09-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Nightmare Alley
2022-07-10T18:00:00Z,2022-07-10T21:30:00Z,2022-06-03T16:30:13Z,https://tickets.kinoamdach.at/at/cash-truck-10-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Cash Truck
2022-07-11T18:00:00Z,2022-07-11T21:30:00Z,2022-06-03T16:59:15Z,https://tickets.kinoamdach.at/at/come-on-come-on-presented-by-falter-11-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria","Come On, Come On"
2022-07-12T18:00:00Z,2022-07-12T21:30:00Z,2022-06-03T16:59:32Z,https://tickets.kinoamdach.at/at/nowhere-special-12-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Nowhere Special
2022-07-13T18:00:00Z,2022-07-13T21:30:00Z,2022-06-03T17:01:40Z,https://tickets.kinoamdach.at/at/family-special-geschichten-vom-franz-presented-by-b%C3%BCcherein-wien-13-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Geschichten vom Franz
2022-07-14T18:00:00Z,2022-07-14T21:30:00Z,2022-06-04T08:55:27Z,https://tickets.kinoamdach.at/at/wundersch%C3%B6n-27-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Wunderschön
2022-07-15T18:00:00Z,2022-07-15T21:30:00Z,2022-06-04T08:55:51Z,https://tickets.kinoamdach.at/at/doctor-strange-in-the-multiverse-of-madness-15-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",Doctor Strange in the Multiverse of Madness
2022-07-16T18:00:00Z,2022-07-16T21:30:00Z,2022-06-04T08:56:15Z,https://tickets.kinoamdach.at/at/house-of-gucci-16-07-2022,"Cinema on the roof, Urban-Loritz-Platz 2, 1070 Wien, Austria",House of Gucci
